aimValue,speedValue,isAimMap
4.66849,4.4165,NULL
4.52955,3.89551,NULL
4.67767,4.12327,NULL
5.10032,3.66962,1
5.25129,3.56634,1
5.2601,3.16498,1
4.51782,4.27132,NULL
5.28729,3.89161,1
4.31333,4.29025,NULL
5.39501,3.18216,1
4.57441,3.90634,NULL
4.36352,4.19988,NULL
4.72497,4.06203,NULL
4.52957,4.42658,NULL
5.23525,3.66899,1
4.67574,3.68578,NULL
4.2826,4.21263,NULL
5.08869,4.77134,NULL
5.35234,2.89059,1
4.50905,4.42664,NULL
4.44063,4.08903,NULL
5.08468,3.52917,1
3.92805,4.49999,NULL
4.03083,4.36094,NULL
5.89677,3.53333,1
5.61293,3.59165,1
5.54087,3.6121,1
5.10326,3.78485,1
5.55153,4.05423,1
5.20775,3.59593,1
6.28645,3.89563,1
4.78372,4.87797,NULL
4.22995,4.72984,NULL
4.00193,5.20509,0
6.86605,3.97604,1
5.04667,4.11414,NULL
5.43578,4.53408,NULL
5.27509,3.3411,1
4.87764,3.96291,NULL
5.30237,3.46952,1
4.13167,4.77671,NULL
5.58031,3.40416,1
5.13192,3.58432,1
3.92751,4.02629,NULL
4.82379,3.48182,1
5.30132,3.47936,1
5.23563,3.45315,1
4.76405,4.82077,NULL
4.42397,4.72205,NULL
4.45816,4.85701,NULL
5.06089,3.60713,1
4.54667,3.44963,NULL
4.08205,4.60915,NULL
6.72825,3.64812,1
4.82303,3.76301,NULL
4.67817,4.37853,NULL
4.62723,3.72028,NULL
4.86138,3.68995,NULL
4.15763,4.55723,NULL
4.72908,4.41979,NULL
4.28105,5.19134,NULL
4.62693,4.12656,NULL
5.37199,3.28245,1
5.38995,3.29743,1
5.23745,3.86152,1
4.62786,3.71873,NULL
5.35463,3.82932,1
4.85489,4.3176,NULL
3.76968,5.00893,0
6.64649,3.84663,1
3.92345,4.42849,NULL
4.92717,4.04079,NULL
5.01467,3.9703,NULL
4.90308,4.27491,NULL
4.38781,4.20027,NULL
4.86912,3.82392,NULL
5.03548,3.28376,1
5.60698,3.44506,1
5.76352,3.2937,1
4.30489,4.05504,NULL
4.62514,4.31239,NULL
4.85354,4.82045,NULL
5.11952,4.05176,NULL
4.83233,4.76879,NULL
4.11302,5.11739,NULL
4.26534,4.48433,NULL
4.5634,5.35444,NULL
5.13583,3.52592,1
4.63117,4.80997,NULL
